Superficie frut’cola ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hect‡reas;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A–os;;;;;;;;;;;;;;;;;;;;;;;;;;;
Especie;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Variaci—n;Participaci—n
"Actualizaci—n 2015: Atacama y Coquimbo 2015; Valpara’so 2014; Metropolitana 2014; O«Higgins 2015; Maule 2013; Bio Bio 2012; La Araucania 2012; Los R’os y Los Lagos 2012";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2014: Atacama y Coquimbo 2011; Valpara’so 2014; Metropolitana 2014; O«Higgins 2009; Maule 2013; Bio Bio 2012; La Araucania 2012; Los R’os y Los Lagos 2012";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2013: Atacama y Coquimbo 2011; Valpara’so 2008; Metropolitana 2010; O«Higgins 2009; Maule 2013; Bio Bio 2012; La Araucania 2012; Los R’os y Los Lagos 2012";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2012: Atacama y Coquimbo 2011; Valpara’so 2008; Metropolitana 2010; O«Higgins 2009; Maule 2007; Bio Bio 2012; La Araucania 2012; Los R’os y Los Lagos 2012";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2011: Atacama y Coquimbo 2011; Valpara’so 2008; Metropolitana 2010; O«Higgins 2009; Maule 2007; Bio Bio 2006; La Araucania 2006; Los R’os y Los Lagos 2006";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2010: Atacama y Coquimbo 2005; Valpara’so 2008; Metropolitana 2010; O'Higgins 2009: Maule 2007; Bio Bio 2006; La Araucan’a 2006; LosR’os  y Los Lagos 2006";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2009: Atacama y Coquimbo 2005; Valpara’so 2008; Metropolitana 2004; O'Higgins 2009: Maule 2007; Bio Bio 2006; La Araucan’a 2006; LosR’os  y Los Lagos 2006";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2008: Atacama y Coquimbo 2005; Valpara’so 2008; Metropolitana 2004; O'Higgins 2003: Maule 2007; Bio Bio 2006; La Araucan’a 2006; LosR’os  y Los Lagos 2006";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2007: Atacama y Coquimbo 2005; Valpara’so 2002; Metropolitana 2004; O'Higgins 2003: Maule 2007; Bio Bio 2006; La Araucan’a 2006; LosR’os  y Los Lagos 2006";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2006: Atacama y Coquimbo 2005; Valpara’so 2002; Metropolitana 2004; O'Higgins 2003: Maule 2001; Bio Bio 2006; La Araucan’a 2006; LosR’os  y Los Lagos 2006";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2005: Atacama y Coquimbo 2005; Valpara’so 2002; Metropolitana 2004; O'Higgins 2003: Maule 2001; Bio Bio 2000; La Araucan’a 2000; LosR’os  y Los Lagos 2000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2004: Atacama y Coquimbo 1999; Valpara’so 2002; Metropolitana 2004; O'Higgins 2003: Maule 2001; Bio Bio 2000; La Araucan’a 2000; LosR’os  y Los Lagos 2000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2003: Atacama y Coquimbo 1999; Valpara’so 2002; Metropolitana 1998; O'Higgins 2003: Maule 2001; Bio Bio 2000; La Araucan’a 2000; LosR’os  y Los Lagos 2000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2002: Atacama y Coquimbo 1999; Valpara’so 2002; Metropolitana 1998; O'Higgins 1996: Maule 2001; Bio Bio 2000; La Araucan’a 2000; LosR’os  y Los Lagos 2000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2001: Atacama y Coquimbo 1999; Valpara’so1995; Metropolitana 1998; O'Higgins 1996: Maule 2001; Bio Bio 2000; La Araucan’a 2000; LosR’os  y Los Lagos 2000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2000: Atacama y Coquimbo 1999; Valpara’so 1995; Metropolitana 1998; O'Higgins 1996: Maule 1994; Bio Bio 2000; La Araucan’a 2000; LosR’os  y Los Lagos 2000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 1999: Atacama y Coquimbo 1999; Valpara’so 1995; Metropolitana 1998; O'Higgins 1996: Maule 1994; Bio Bio 1991; La Araucan’a 1991;Los Lagos 1991";;;;;;;;;;;;;;;;;;;;;;;;;;;;
